id,company_id,country_id,code,name,description,parent_id:id,type
co,,Colombia,CO,COLOMBIA Configuration,Tablas y valores de configuración para COLOMBIA,,view
dian,,Colombia,CO.DIAN,DIAN Configuration,Tablas y valores de configuración para DIAN,co,view
