module,type,name,res_id,src,value
l10n_pe_ple,field,"l10n_pe.sunat_file_save,output_name",0,Output filename,Nombre del archivo de salida
l10n_pe_ple,model,"base.table,name",l10n_pe_ple.sunat_tabla_01,PAYMENT_MEDIA,PAYMENT_MEDIA
l10n_pe_ple,model,"base.table,name",l10n_pe_ple.sunat_tabla_10,PAYMENT_TYPE,PAYMENT_TYPE
l10n_pe_ple,model,"base.table,name",l10n_pe_ple.pe,PERU Configuration,Configuración para PERU
l10n_pe_ple,field,"l10n_pe.ple_line,ple_id",0,PLE,PLE
l10n_pe_ple,model,"base.table,name",l10n_pe_ple.sunat_tabla_21,PROD_COST_GROUP,PROD_COST_GROUP
l10n_pe_ple,model,"ir.model,name",l10n_pe_ple.model_res_partner,Partner,Empresa
l10n_pe_ple,code,addons/l10n_pe_ple/partner.py,88,"Pasaporte should be alfanumeric, not longer than 12 characters! Please check!","El pasaporte debe ser alfanumérico, de no más de 12 caracteres de largo! Por favor revisar"
l10n_pe_ple,field,"l10n_pe.ple,period_id",0,Period,Período
l10n_pe_ple,selection,"l10n_pe.ple_line,operation_state",0,"Previous period, no registration","Período anterior, no registrado"
l10n_pe_ple,selection,"l10n_pe.ple_line,operation_state",0,"Previous period, registered","Período anterior, registrado"
l10n_pe_ple,view,l10n_pe.ple,0,Print a report according to SUNAT specifications,Imprimir un reporte de acuerdo a las especificaciones del SUNAT
l10n_pe_ple,view,l10n_pe.ple,0,Print report,Imprimir reporte
l10n_pe_ple,model,"ir.ui.menu,name",l10n_pe_ple.sunat_ple_menu,Programa de Libros Electrónicos,Programa de Libros Electrónicos
l10n_pe_ple,code,addons/l10n_pe_ple/partner.py,82,"RUC should be numeric, 8-11 numbers long! Please check!","El RUC debe ser numérico, de 8 a 11 caracteres de largo! Por favor revisar"
l10n_pe_ple,view,l10n_pe.ple,0,Reload,Recargar
l10n_pe_ple,view,l10n_pe.ple,0,Reload account moves from configured accounts and journals,Recargar las lineas de los movimientos de las cuentas y diarios configurados
l10n_pe_ple,view,l10n_pe.ple,0,Renumber,Renumerar
l10n_pe_ple,view,l10n_pe.ple,0,Renumber lines according to current order,Renumerar la secuencia según fecha
l10n_pe_ple,field,"l10n_pe.ple,report_type",0,Report type,Tipo de reporte
